270,7.6351
275,7.613925
280,7.5926
285,7.571125
290,7.5495
295,7.527725
300,7.5058
305,7.483725
310,7.4615
315,7.439125
320,7.4166
325,7.393925
330,7.3711
335,7.348125
340,7.325
345,7.301725
350,7.2783
355,7.254725
360,7.231
365,7.207125
370,7.1831
375,7.158925
380,7.1346
385,7.110125
390,7.0855
395,7.060725
400,7.0358
405,7.010725
410,6.9855
415,6.960125
420,6.9346
425,6.908925
430,6.8831
435,6.857125
440,6.831
445,6.804725
450,6.7783
455,6.751725
460,6.725
465,6.698125
470,6.6711
475,6.643925
480,6.6166
485,6.589125
490,6.5615
495,6.533725
500,6.5058
505,6.477725
510,6.4495
515,6.421125
520,6.3926
525,6.363925
530,6.3351
535,6.306125
540,6.277
545,6.247725
550,6.2183
555,6.188725
560,6.159
565,6.129125
570,6.0991
575,6.068925
580,6.0386
585,6.008125
590,5.9775
595,5.946725
600,5.9158
605,5.884725
610,5.8535
615,5.822125
620,5.7906
625,5.758925
630,5.7271
635,5.695125
640,5.663
645,5.630725
650,5.5983
655,5.565725
660,5.533
665,5.500125
